x;absoluteError;relativeError;computation time (milliseconds)
-0,99;7,99360577730113E-15;1;0
-0,98;3,5527136788005E-15;1;0
-0,97;1,33226762955019E-15;1;0
-0,96;3,99680288865056E-15;1;0
-0,95;1,77635683940025E-15;1;0
-0,94;1,33226762955019E-15;1;0
-0,93;1,33226762955019E-15;1;0
-0,92;4,44089209850063E-16;1;0
-0,91;1,33226762955019E-15;1;0
-0,9;4,44089209850063E-16;1;0
-0,89;8,88178419700125E-16;1;0
-0,88;6,66133814775094E-16;1;0
-0,87;4,44089209850063E-16;1;0
-0,86;4,44089209850063E-16;1;0
-0,85;2,22044604925031E-16;1;0
-0,84;6,66133814775094E-16;1;0
-0,83;2,22044604925031E-16;1;0
-0,82;2,22044604925031E-16;1;0
-0,81;2,22044604925031E-16;1;0
-0,8;2,22044604925031E-16;1;0
-0,79;2,22044604925031E-16;1;0
-0,78;2,22044604925031E-16;1;0
-0,77;2,22044604925031E-16;1;0
-0,76;0;не число;0
-0,75;2,22044604925031E-16;1;0
-0,74;2,22044604925031E-16;1;0
-0,73;2,22044604925031E-16;1;0
-0,72;4,44089209850063E-16;1;0
-0,71;0;не число;0
-0,7;4,44089209850063E-16;1;0
-0,69;2,22044604925031E-16;1;0
-0,68;3,33066907387547E-16;1;0
-0,67;3,33066907387547E-16;1;0
-0,66;1,11022302462516E-16;1;0
-0,65;2,22044604925031E-16;1;0
-0,64;1,11022302462516E-16;1;0
-0,63;1,11022302462516E-16;1;0
-0,62;0;не число;0
-0,61;3,33066907387547E-16;1;0
-0,6;3,33066907387547E-16;1;0
-0,59;1,11022302462516E-16;1;0
-0,58;1,11022302462516E-16;1;0
-0,57;3,33066907387547E-16;1;0
-0,56;2,22044604925031E-16;1;0
-0,55;1,11022302462516E-16;1;0
-0,54;0;не число;0
-0,53;0;не число;0
-0,52;1,11022302462516E-16;1;0
-0,51;2,22044604925031E-16;1;0
-0,5;2,22044604925031E-16;1;0
-0,49;2,22044604925031E-16;1;0
-0,48;1,11022302462516E-16;1;0
-0,47;1,11022302462516E-16;1;0
-0,46;1,11022302462516E-16;1;0
-0,45;2,22044604925031E-16;1;0
-0,44;1,11022302462516E-16;1;0
-0,43;1,66533453693773E-16;1;0
-0,42;5,55111512312578E-17;1;0
-0,41;5,55111512312578E-17;1;0
-0,4;5,55111512312578E-17;1;0
-0,39;1,11022302462516E-16;1;0
-0,38;1,66533453693773E-16;1;0
-0,37;5,55111512312578E-17;1;0
-0,36;1,66533453693773E-16;1;0
-0,35;5,55111512312578E-17;1;0
-0,34;0;не число;0
-0,33;5,55111512312578E-17;1;0
-0,32;0;не число;0
-0,31;5,55111512312578E-17;1;0
-0,3;1,11022302462516E-16;1;0
-0,29;5,55111512312578E-17;1;0
-0,28;1,11022302462516E-16;1;0
-0,27;0;не число;0
-0,26;5,55111512312578E-17;1;0
-0,25;1,11022302462516E-16;1;0
-0,24;2,77555756156289E-17;1;0
-0,23;1,11022302462516E-16;1;0
-0,22;1,11022302462516E-16;1;0
-0,21;2,77555756156289E-17;1;0
-0,2;8,32667268468867E-17;1;0
-0,19;5,55111512312578E-17;1;0
-0,18;8,32667268468867E-17;1;0
-0,17;2,77555756156289E-17;1;0
-0,16;8,32667268468867E-17;1;0
-0,15;5,55111512312578E-17;1;0
-0,14;8,32667268468867E-17;1;0
-0,13;2,77555756156289E-17;1;0
-0,12;9,71445146547012E-17;1;0
-0,11;1,2490009027033E-16;1;0
-0,1;8,32667268468867E-17;1;0
-0,09;6,93889390390723E-17;1;0
-0,08;4,16333634234434E-17;1;0
-0,07;5,55111512312578E-17;1;0
-0,0599999999999999;6,24500451351651E-17;1;0
-0,0499999999999999;5,55111512312578E-17;1;0
-0,04;4,85722573273506E-17;1;0
-0,03;1,11022302462516E-16;1;0
-0,02;5,55111512312578E-17;1;0
-0,01;3,98986399474666E-17;1;0
0;6,12303176911189E-17;1;0
0,01;8,32667268468867E-17;1;0
0,02;4,5102810375397E-17;1;0
0,03;1,73472347597681E-17;1;0
0,04;7,63278329429795E-17;1;0
0,05;6,93889390390723E-17;1;0
0,0600000000000001;4,85722573273506E-17;1;0
0,0700000000000001;5,55111512312578E-17;1;0
0,0800000000000001;4,16333634234434E-17;1;0
0,0900000000000001;9,71445146547012E-17;1;0
0,1;8,32667268468867E-17;1;0
0,11;9,71445146547012E-17;1;0
0,12;1,11022302462516E-16;1;0
0,13;2,77555756156289E-17;1;0
0,14;8,32667268468867E-17;1;0
0,15;5,55111512312578E-17;1;0
0,16;8,32667268468867E-17;1;0
0,17;5,55111512312578E-17;1;0
0,18;2,77555756156289E-17;1;0
0,19;5,55111512312578E-17;1;0
0,2;2,77555756156289E-17;1;0
0,21;8,32667268468867E-17;1;0
0,22;2,77555756156289E-17;1;0
0,23;2,77555756156289E-17;1;0
0,24;8,32667268468867E-17;1;0
0,25;0;не число;0
0,26;5,55111512312578E-17;1;0
0,27;1,11022302462516E-16;1;0
0,28;0;не число;0
0,29;5,55111512312578E-17;1;0
0,3;1,11022302462516E-16;1;0
0,31;5,55111512312578E-17;1;0
0,32;1,11022302462516E-16;1;0
0,33;1,11022302462516E-16;1;0
0,34;1,11022302462516E-16;1;0
0,35;5,55111512312578E-17;1;0
0,36;1,11022302462516E-16;1;0
0,37;0;не число;0
0,38;1,66533453693773E-16;1;0
0,39;5,55111512312578E-17;1;0
0,4;5,55111512312578E-17;1;0
0,41;5,55111512312578E-17;1;0
0,42;5,55111512312578E-17;1;0
0,43;0;не число;0
0,44;0;не число;0
0,45;1,11022302462516E-16;1;0
0,46;0;не число;0
0,47;0;не число;0
0,48;1,11022302462516E-16;1;0
0,49;1,11022302462516E-16;1;0
0,5;2,22044604925031E-16;1;0
0,51;0;не число;0
0,52;0;не число;0
0,53;1,11022302462516E-16;1;0
0,54;0;не число;0
0,55;1,11022302462516E-16;1;0
0,56;0;не число;0
