x;absoluteError;relativeError;computation time (milliseconds)
1,01995;0;0;0
1,0399;0;0;0
1,05985;0;0;0
1,0798;0;0;0
1,09975;0;0;0
1,1197;0;0;0
1,13965;0;0;0
1,1596;0;0;0
1,17955;0;0;0
1,1995;0;0;0
1,21945;0;0;0
1,2394;0;0;0
1,25935;0;0;0
1,2793;2,22044604925031E-16;1,73567267196929E-16;0
1,29925;0;0;0
1,3192;0;0;0
1,33915;0;0;0
1,3591;0;0;0
1,37905;0;0;0
1,399;0;0;0
1,41895;0;0;0
1,4389;0;0;0
1,45885;2,22044604925031E-16;1,52205233523002E-16;0
1,4788;2,22044604925031E-16;1,50151883233048E-16;0
1,49875;2,22044604925031E-16;1,481531976147E-16;0
1,5187;0;0;0
1,53865;2,22044604925031E-16;1,44311315065175E-16;0
1,5586;0;0;0
1,57855;0;0;0
1,5985;0;0;0
1,61845;0;0;0
1,6384;2,22044604925031E-16;1,35525271560688E-16;0
1,65835;0;0;0
1,6783;0;0;0
1,69825;0;0;0
1,7182;2,22044604925031E-16;1,29230942221529E-16;0
1,73815;0;0;0
1,7581;2,22044604925031E-16;1,2629805183154E-16;0
1,77805;0;0;0
1,798;0;0;0
1,81795;2,22044604925031E-16;1,22140105572228E-16;0
1,8379;0;0;0
1,85785;2,22044604925031E-16;1,19516971189833E-16;0
1,8778;0;0;0
1,89775;2,22044604925031E-16;1,17004139072602E-16;0
1,9177;0;0;0
1,93765;2,22044604925031E-16;1,14594795202968E-16;0
1,9576;2,22044604925031E-16;1,13426953884875E-16;0
1,97755;2,22044604925031E-16;1,12282675494946E-16;0
1,9975;2,22044604925031E-16;1,11161254030053E-16;0
2,01745;4,44089209850063E-16;2,20124022825876E-16;0
2,0374;0;0;0
2,05735;0;0;0
2,0773;0;0;0
2,09725;0;0;0
2,1172;0;0;0
2,13715;4,44089209850063E-16;2,07795058769886E-16;0
2,1571;0;0;0
2,17705;0;0;0
2,197;0;0;0
2,21695;0;0;0
2,2369;0;0;0
2,25685;0;0;0
2,2768;0;0;0
2,29675;0;0;0
2,3167;0;0;0
2,33665;0;0;0
2,3566;0;0;0
2,37655;4,44089209850063E-16;1,86862977782947E-16;0
2,3965;0;0;0
2,41645;4,44089209850063E-16;1,83777528957795E-16;0
2,4364;0;0;0
2,45635;0;0;0
2,4763;4,44089209850063E-16;1,79335787202707E-16;0
2,49625;4,44089209850063E-16;1,77902537746645E-16;0
2,5162;4,44089209850063E-16;1,76492015678429E-16;0
2,53615;0;0;0
2,5561;0;0;0
2,57605;4,44089209850063E-16;1,72391533491222E-16;0
2,596;0;0;0
