x;absoluteError;relativeError;computation time (milliseconds)
-0,99005;0;0;0
-0,9801;0;0;0
-0,97015;1,11022302462516E-16;1,14438285278066E-16;0
-0,9602;0;0;0
-0,95025;0;0;0
-0,9403;0;0;0
-0,93035;0;0;0
-0,9204;0;0;0
-0,91045;0;0;0
-0,9005;0;0;0
-0,89055;0;0;0
-0,8806;0;0;0
-0,87065;0;0;0
-0,8607;1,11022302462516E-16;1,28990708100983E-16;0
-0,85075;0;0;0
-0,8408;1,11022302462516E-16;1,32043651834581E-16;0
-0,83085;1,11022302462516E-16;1,33624965351767E-16;0
-0,8209;1,11022302462516E-16;1,35244612574632E-16;0
-0,81095;0;0;0
-0,801;0;0;0
-0,79105;0;0;0
-0,7811;1,11022302462516E-16;1,42135837232769E-16;0
-0,77115;0;0;0
-0,7612;0;0;0
-0,75125;0;0;0
-0,7413;1,11022302462516E-16;1,49767034213565E-16;0
-0,73135;0;0;0
-0,7214;0;0;0
-0,71145;0;0;0
-0,7015;1,11022302462516E-16;1,58264151764099E-16;0
-0,69155;0;0;0
-0,6816;0;0;0
-0,67165;1,11022302462516E-16;1,65297852248218E-16;0
-0,6617;0;0;0
-0,65175;0;0;0
-0,6418;0;0;0
-0,63185;1,11022302462516E-16;1,75709903398774E-16;0
-0,6219;0;0;0
-0,61195;0;0;0
-0,602;0;0;0
-0,59205;0;0;0
-0,5821;0;0;0
-0,57215;0;0;0
-0,5622;0;0;0
-0,55225;0;0;0
-0,5423;0;0;0
-0,53235;0;0;0
-0,5224;0;0;0
-0,51245;0;0;0
-0,5025;0;0;0
-0,49255;0;0;0
-0,4826;5,55111512312578E-17;1,15025178680601E-16;0
-0,47265;0;0;0
-0,4627;0;0;0
-0,45275;0;0;0
-0,4428;0;0;0
-0,43285;0;0;0
-0,4229;5,55111512312578E-17;1,31263067465731E-16;0
-0,41295;0;0;0
-0,403;5,55111512312578E-17;1,37744792137116E-16;0
-0,39305;0;0;0
-0,3831;0;0;0
-0,37315;0;0;0
-0,3632;0;0;0
-0,35325;0;0;0
-0,3433;0;0;0
-0,33335;0;0;0
-0,3234;0;0;0
-0,31345;0;0;0
-0,3035;0;0;0
-0,29355;0;0;0
-0,2836;0;0;0
-0,27365;0;0;0
-0,2637;0;0;0
-0,25375;0;0;0
-0,2438;0;0;0
-0,23385;0;0;0
-0,2239;0;0;0
-0,21395;0;0;0
-0,204;0;0;0
-0,19405;0;0;0
-0,1841;0;0;0
-0,17415;0;0;0
-0,1642;0;0;0
-0,15425;0;0;0
-0,1443;0;0;0
-0,13435;0;0;0
-0,1244;0;0;0
-0,11445;0;0;0
-0,1045;0;0;0
-0,0945499999999999;0;0;0
-0,0846;0;0;0
-0,07465;0;0;0
-0,0647;0;0;0
-0,05475;0;0;0
-0,0448;0;0;0
-0,0348499999999999;0;0;0
-0,0248999999999999;0;0;0
-0,0149499999999999;0;0;0
-0,00499999999999989;0;0;0
0,00495000000000001;0;0;0
0,0149000000000001;0;0;0
0,02485;0;0;0
0,0348000000000002;0;0;0
0,0447500000000001;0;0;0
0,0547;0;0;0
0,0646500000000001;0;0;0
0,0746;0;0;0
0,0845500000000001;0;0;0
0,0945;0;0;0
0,10445;0;0;0
0,1144;0;0;0
0,12435;0;0;0
0,1343;0;0;0
0,14425;0;0;0
0,1542;0;0;0
0,16415;0;0;0
0,1741;0;0;0
0,18405;0;0;0
0,194;0;0;0
0,20395;0;0;0
0,2139;0;0;0
0,22385;0;0;0
0,2338;0;0;0
0,24375;0;0;0
0,2537;0;0;0
0,26365;0;0;0
0,2736;0;0;0
0,28355;0;0;0
0,2935;0;0;0
0,30345;0;0;0
0,3134;0;0;0
0,32335;0;0;0
0,3333;0;0;0
0,34325;0;0;0
0,3532;0;0;0
0,36315;0;0;0
0,3731;0;0;0
0,38305;0;0;0
0,393;0;0;0
0,40295;0;0;0
0,4129;5,55111512312578E-17;1,34442119717263E-16;0
0,42285;0;0;0
0,4328;0;0;0
0,44275;0;0;0
0,4527;0;0;0
0,46265;0;0;0
0,4726;0;0;0
0,48255;0;0;0
0,4925;0;0;0
0,50245;0;0;0
0,5124;0;0;0
0,52235;0;0;0
0,5323;0;0;0
0,54225;0;0;0
0,5522;0;0;0
0,56215;0;0;0
0,5721;0;0;0
0,58205;0;0;0
0,592;0;0;0
0,60195;0;0;0
0,6119;0;0;0
0,62185;0;0;0
0,6318;0;0;0
0,64175;1,11022302462516E-16;1,72999302629553E-16;0
0,6517;0;0;0
0,66165;0;0;0
0,6716;0;0;0
0,68155;1,11022302462516E-16;1,62896783013008E-16;0
0,6915;0;0;0
0,70145;1,11022302462516E-16;1,58275432978139E-16;0
0,7114;0;0;0
0,72135;0;0;0
0,7313;0;0;0
0,74125;1,11022302462516E-16;1,49777136543023E-16;0
0,7512;1,11022302462516E-16;1,47793267388865E-16;0
0,76115;0;0;0
0,7711;0;0;0
0,78105;0;0;0
0,791;0;0;0
0,80095;0;0;0
0,8109;0;0;0
0,82085;0;0;0
0,8308;1,11022302462516E-16;1,33633007297202E-16;0
0,84075;0;0;0
0,8507;0;0;0
0,86065;0;0;0
0,8706;0;0;0
0,88055;0;0;0
0,8905;1,11022302462516E-16;1,24674118430675E-16;0
0,90045;0;0;0
0,9104;1,11022302462516E-16;1,2194892625496E-16;0
0,92035;1,11022302462516E-16;1,20630523673076E-16;0
0,9303;0;0;0
0,94025;0;0;0
0,9502;0;0;0
0,96015;1,11022302462516E-16;1,15630164518581E-16;0
0,9701;1,11022302462516E-16;1,14444183550681E-16;0
0,98005;0;0;0
