x;absoluteError;relativeError;computation time (milliseconds)
0,005;4,44089209850063E-16;4,44089209850063E-16;0
0,01;9,10382880192628E-15;9,10382880192628E-15;0
0,015;2,22044604925031E-16;2,22044604925031E-16;0
0,02;1,55431223447522E-15;1,55431223447522E-15;0
0,025;2,44249065417534E-15;2,44249065417534E-15;0
0,03;1,33226762955019E-15;1,33226762955019E-15;0
0,035;2,22044604925031E-16;2,22044604925031E-16;0
0,04;2,66453525910038E-15;2,66453525910038E-15;0
0,045;1,77635683940025E-15;1,77635683940025E-15;0
0,05;2,22044604925031E-15;2,22044604925031E-15;0
0,055;6,66133814775094E-16;6,66133814775094E-16;0
0,06;2,22044604925031E-16;2,22044604925031E-16;0
0,065;1,55431223447522E-15;1,55431223447522E-15;0
0,07;1,55431223447522E-15;1,55431223447522E-15;0
0,075;1,4432899320127E-15;1,4432899320127E-15;0
0,08;1,33226762955019E-15;1,33226762955019E-15;0
0,085;7,7715611723761E-16;7,7715611723761E-16;0
0,09;6,66133814775094E-16;6,66133814775094E-16;0
0,095;1,11022302462516E-15;1,11022302462516E-15;0
0,1;0;0;0
0,105;4,44089209850063E-16;4,44089209850063E-16;0
0,11;0;0;0
0,115;2,22044604925031E-16;2,22044604925031E-16;0
0,12;1,11022302462516E-16;1,11022302462516E-16;0
0,125;8,88178419700125E-16;8,88178419700125E-16;0
0,13;6,66133814775094E-16;6,66133814775094E-16;0
0,135;0;0;0
0,14;2,22044604925031E-16;2,22044604925031E-16;0
0,145;7,7715611723761E-16;7,7715611723761E-16;0
0,15;2,22044604925031E-16;2,22044604925031E-16;0
0,155;4,44089209850063E-16;4,44089209850063E-16;0
0,16;0;0;0
0,165;4,44089209850063E-16;4,44089209850063E-16;0
0,17;2,22044604925031E-16;2,22044604925031E-16;0
0,175;4,44089209850063E-16;4,44089209850063E-16;0
0,18;4,44089209850063E-16;4,44089209850063E-16;0
0,185;1,11022302462516E-16;1,11022302462516E-16;0
0,19;2,22044604925031E-16;2,22044604925031E-16;0
0,195;3,33066907387547E-16;3,33066907387547E-16;0
0,2;4,44089209850063E-16;4,44089209850063E-16;0
0,205;2,22044604925031E-16;2,22044604925031E-16;0
0,21;2,22044604925031E-16;2,22044604925031E-16;0
0,215;3,33066907387547E-16;3,33066907387547E-16;0
0,22;2,22044604925031E-16;2,22044604925031E-16;0
0,225;1,11022302462516E-16;1,11022302462516E-16;0
0,23;0;0;0
0,235;2,22044604925031E-16;2,22044604925031E-16;0
0,24;4,44089209850063E-16;4,44089209850063E-16;0
0,245;2,22044604925031E-16;2,22044604925031E-16;0
0,25;0;0;0
0,255;0;0;0
0,26;2,22044604925031E-16;2,22044604925031E-16;0
0,265;4,44089209850063E-16;4,44089209850063E-16;0
0,27;4,44089209850063E-16;4,44089209850063E-16;0
0,275;2,22044604925031E-16;2,22044604925031E-16;0
0,28;0;0;0
0,285;4,44089209850063E-16;4,44089209850063E-16;0
0,29;4,44089209850063E-16;4,44089209850063E-16;0
0,295;4,44089209850063E-16;4,44089209850063E-16;0
0,3;2,22044604925031E-16;2,22044604925031E-16;0
0,305;2,22044604925031E-16;2,22044604925031E-16;0
0,31;0;0;0
0,315;2,22044604925031E-16;2,22044604925031E-16;0
0,32;2,22044604925031E-16;2,22044604925031E-16;0
0,325;4,44089209850063E-16;4,44089209850063E-16;0
0,33;2,22044604925031E-16;2,22044604925031E-16;0
0,335;3,33066907387547E-16;3,33066907387547E-16;0
0,34;2,22044604925031E-16;2,22044604925031E-16;0
0,345;0;0;0
0,35;0;0;0
0,355;1,11022302462516E-16;1,11022302462516E-16;0
0,36;0;0;0
0,365;1,11022302462516E-16;1,11022302462516E-16;0
0,37;1,11022302462516E-16;1,11022302462516E-16;0
0,375;3,33066907387547E-16;3,33066907387547E-16;0
0,38;0;0;0
0,385;2,22044604925031E-16;2,22044604925031E-16;0
0,39;2,22044604925031E-16;2,22044604925031E-16;0
0,395;1,11022302462516E-16;1,11022302462516E-16;0
0,4;2,22044604925031E-16;2,22044604925031E-16;0
0,405;1,11022302462516E-16;1,11022302462516E-16;0
0,41;2,22044604925031E-16;2,22044604925031E-16;0
0,415;2,22044604925031E-16;2,22044604925031E-16;0
0,42;2,22044604925031E-16;2,22044604925031E-16;0
0,425;0;0;0
0,43;1,11022302462516E-16;1,11022302462516E-16;0
0,435;2,22044604925031E-16;2,22044604925031E-16;0
0,44;1,11022302462516E-16;1,11022302462516E-16;0
0,445;1,11022302462516E-16;1,11022302462516E-16;0
0,45;0;0;0
0,455;2,22044604925031E-16;2,22044604925031E-16;0
0,46;0;0;0
0,465;2,22044604925031E-16;2,22044604925031E-16;0
0,47;2,22044604925031E-16;2,22044604925031E-16;0
0,475;2,22044604925031E-16;2,22044604925031E-16;0
0,48;2,22044604925031E-16;2,22044604925031E-16;0
0,485;0;0;0
0,49;0;0;0
0,495;1,11022302462516E-16;1,11022302462516E-16;0
0,5;2,22044604925031E-16;2,22044604925031E-16;0
0,505;0;0;0
0,51;2,22044604925031E-16;2,22044604925031E-16;0
0,515;0;0;0
0,52;0;0;0
0,525;0;0;0
0,53;2,22044604925031E-16;2,22044604925031E-16;0
0,535;0;0;0
0,54;0;0;0
0,545;0;0;0
0,55;0;0;0
0,555;0;0;0
0,56;0;0;0
0,565;0;0;0
0,57;0;0;0
0,575;0;0;0
0,58;0;0;0
0,585;0;0;0
0,59;0;0;0
0,595;0;0;0
0,6;0;0;0
0,605;0;0;0
0,61;0;0;0
0,615;0;0;0
0,62;0;0;0
0,625;0;0;0
0,63;0;0;0
0,635;0;0;0
0,64;0;0;0
0,645;0;0;0
0,65;0;0;0
0,655;0;0;0
0,66;0;0;0
0,665;0;0;0
0,67;0;0;0
0,675;0;0;0
0,68;0;0;0
0,685;0;0;0
0,69;0;0;0
0,695;0;0;0
0,7;0;0;0
0,705;0;0;0
0,71;0;0;0
0,715;0;0;0
0,72;0;0;0
0,725;0;0;0
0,73;0;0;0
0,735;0;0;0
0,74;0;0;0
0,745;0;0;0
0,75;0;0;0
0,755;0;0;0
0,76;0;0;0
0,765;0;0;0
0,77;0;0;0
0,775;0;0;0
0,78;0;0;0
0,785;0;0;0
0,79;0;0;0
0,795;0;0;0
0,8;0;0;0
0,805;0;0;0
0,81;0;0;0
0,815;0;0;0
0,82;0;0;0
0,825;0;0;0
0,83;0;0;0
0,835;0;0;0
0,84;0;0;0
0,845;0;0;0
0,85;0;0;0
0,855;0;0;0
0,86;0;0;0
0,865;0;0;0
0,87;0;0;0
0,875;0;0;0
0,88;0;0;0
0,885;0;0;0
0,89;0;0;0
0,895;0;0;0
0,9;0;0;0
0,905;0;0;0
0,91;0;0;0
0,915;0;0;0
0,92;0;0;0
0,925;0;0;0
0,93;0;0;0
0,935;0;0;0
0,94;0;0;0
0,945;0;0;0
0,95;0;0;0
0,955;0;0;0
0,96;0;0;0
0,965;0;0;0
0,97;0;0;0
0,975;0;0;0
0,98;0;0;0
0,985;0;0;0
0,99;0;0;0
0,995;0;0;0
